net,wires
"(21,11)","[(6,11,0),(np.int64(7),np.int64(11),np.int64(0)),(np.int64(8),np.int64(11),np.int64(0)),(np.int64(9),np.int64(11),np.int64(0)),(np.int64(9),np.int64(12),np.int64(0)),(np.int64(8),np.int64(12),np.int64(0)),(np.int64(7),np.int64(12),np.int64(0)),(np.int64(6),np.int64(12),np.int64(0)),(np.int64(5),np.int64(12),np.int64(0)),(np.int64(4),np.int64(12),np.int64(0)),(np.int64(3),np.int64(12),np.int64(0)),(np.int64(2),np.int64(12),np.int64(0)),(np.int64(1),np.int64(12),np.int64(0)),(1,11,0)]"
"(23,12)","[(2,4,0),(np.int64(2),np.int64(3),np.int64(0)),(2,2,0)]"
"(12,25)","[(1,7,0),(np.int64(1),np.int64(6),np.int64(0)),(np.int64(0),np.int64(6),np.int64(0)),(np.int64(0),np.int64(5),np.int64(0)),(np.int64(0),np.int64(5),np.int64(1)),(np.int64(0),np.int64(5),np.int64(2)),(np.int64(1),np.int64(5),np.int64(2)),(np.int64(1),np.int64(5),np.int64(3)),(np.int64(2),np.int64(5),np.int64(3)),(np.int64(3),np.int64(5),np.int64(3)),(np.int64(4),np.int64(5),np.int64(3)),(np.int64(5),np.int64(5),np.int64(3)),(np.int64(6),np.int64(5),np.int64(3)),(np.int64(7),np.int64(5),np.int64(3)),(np.int64(8),np.int64(5),np.int64(3)),(np.int64(9),np.int64(5),np.int64(3)),(np.int64(10),np.int64(5),np.int64(3)),(np.int64(11),np.int64(5),np.int64(3)),(np.int64(12),np.int64(5),np.int64(3)),(np.int64(13),np.int64(5),np.int64(3)),(np.int64(13),np.int64(5),np.int64(2)),(np.int64(13),np.int64(5),np.int64(1)),(13,5,0)]"
"(7,15)","[(11,7,0),(np.int64(12),np.int64(7),np.int64(0)),(np.int64(12),np.int64(7),np.int64(1)),(np.int64(12),np.int64(7),np.int64(2)),(np.int64(11),np.int64(7),np.int64(2)),(np.int64(11),np.int64(6),np.int64(2)),(np.int64(11),np.int64(5),np.int64(2)),(np.int64(11),np.int64(4),np.int64(2)),(np.int64(11),np.int64(4),np.int64(1)),(np.int64(11),np.int64(3),np.int64(1)),(np.int64(11),np.int64(2),np.int64(1)),(np.int64(11),np.int64(1),np.int64(1)),(np.int64(12),np.int64(1),np.int64(1)),(12,1,0)]"
"(17,10)","[(15,11,0),(np.int64(14),np.int64(11),np.int64(0)),(np.int64(13),np.int64(11),np.int64(0)),(np.int64(12),np.int64(11),np.int64(0)),(np.int64(11),np.int64(11),np.int64(0)),(np.int64(11),np.int64(10),np.int64(0)),(np.int64(10),np.int64(10),np.int64(0)),(np.int64(9),np.int64(10),np.int64(0)),(np.int64(8),np.int64(10),np.int64(0)),(np.int64(7),np.int64(10),np.int64(0)),(np.int64(6),np.int64(10),np.int64(0)),(np.int64(5),np.int64(10),np.int64(0)),(np.int64(4),np.int64(10),np.int64(0)),(3,10,0)]"
"(20,6)","[(1,3,0),(np.int64(0),np.int64(3),np.int64(0)),(np.int64(0),np.int64(3),np.int64(1)),(np.int64(0),np.int64(3),np.int64(2)),(np.int64(1),np.int64(3),np.int64(2)),(np.int64(2),np.int64(3),np.int64(2)),(np.int64(3),np.int64(3),np.int64(2)),(np.int64(4),np.int64(3),np.int64(2)),(np.int64(5),np.int64(3),np.int64(2)),(np.int64(6),np.int64(3),np.int64(2)),(np.int64(7),np.int64(3),np.int64(2)),(np.int64(8),np.int64(3),np.int64(2)),(np.int64(9),np.int64(3),np.int64(2)),(np.int64(10),np.int64(3),np.int64(2)),(np.int64(11),np.int64(3),np.int64(2)),(np.int64(12),np.int64(3),np.int64(2)),(np.int64(13),np.int64(3),np.int64(2)),(np.int64(14),np.int64(3),np.int64(2)),(np.int64(15),np.int64(3),np.int64(2)),(np.int64(15),np.int64(4),np.int64(2)),(np.int64(15),np.int64(4),np.int64(1)),(15,4,0)]"
"(16,9)","[(15,11,0),(np.int64(16),np.int64(11),np.int64(0)),(np.int64(17),np.int64(11),np.int64(0)),(np.int64(17),np.int64(10),np.int64(0)),(np.int64(17),np.int64(10),np.int64(1)),(np.int64(17),np.int64(10),np.int64(2)),(np.int64(16),np.int64(10),np.int64(2)),(np.int64(15),np.int64(10),np.int64(2)),(np.int64(14),np.int64(10),np.int64(2)),(np.int64(13),np.int64(10),np.int64(2)),(np.int64(12),np.int64(10),np.int64(2)),(np.int64(11),np.int64(10),np.int64(2)),(np.int64(10),np.int64(10),np.int64(2)),(np.int64(9),np.int64(10),np.int64(2)),(np.int64(8),np.int64(10),np.int64(2)),(np.int64(7),np.int64(10),np.int64(2)),(np.int64(6),np.int64(10),np.int64(2)),(np.int64(5),np.int64(10),np.int64(2)),(np.int64(4),np.int64(10),np.int64(2)),(np.int64(3),np.int64(10),np.int64(2)),(np.int64(2),np.int64(10),np.int64(2)),(np.int64(2),np.int64(10),np.int64(1)),(np.int64(2),np.int64(10),np.int64(0)),(np.int64(1),np.int64(10),np.int64(0)),(1,11,0)]"
"(11,8)","[(4,7,0),(np.int64(4),np.int64(8),np.int64(0)),(np.int64(4),np.int64(8),np.int64(1)),(np.int64(3),np.int64(8),np.int64(1)),(np.int64(3),np.int64(9),np.int64(1)),(np.int64(3),np.int64(10),np.int64(1)),(3,10,0)]"
"(24,5)","[(9,2,0),(np.int64(9),np.int64(2),np.int64(1)),(np.int64(10),np.int64(2),np.int64(1)),(np.int64(10),np.int64(3),np.int64(1)),(np.int64(10),np.int64(4),np.int64(1)),(np.int64(10),np.int64(5),np.int64(1)),(np.int64(10),np.int64(5),np.int64(0)),(np.int64(10),np.int64(6),np.int64(0)),(np.int64(11),np.int64(6),np.int64(0)),(11,7,0)]"
"(20,3)","[(15,11,0),(np.int64(15),np.int64(12),np.int64(0)),(np.int64(14),np.int64(12),np.int64(0)),(np.int64(13),np.int64(12),np.int64(0)),(np.int64(12),np.int64(12),np.int64(0)),(np.int64(12),np.int64(12),np.int64(1)),(np.int64(12),np.int64(11),np.int64(1)),(np.int64(12),np.int64(11),np.int64(2)),(np.int64(11),np.int64(11),np.int64(2)),(np.int64(10),np.int64(11),np.int64(2)),(np.int64(9),np.int64(11),np.int64(2)),(np.int64(8),np.int64(11),np.int64(2)),(np.int64(7),np.int64(11),np.int64(2)),(np.int64(6),np.int64(11),np.int64(2)),(np.int64(5),np.int64(11),np.int64(2)),(np.int64(4),np.int64(11),np.int64(2)),(np.int64(4),np.int64(11),np.int64(3)),(np.int64(4),np.int64(10),np.int64(3)),(np.int64(4),np.int64(9),np.int64(3)),(np.int64(4),np.int64(8),np.int64(3)),(np.int64(4),np.int64(7),np.int64(3)),(np.int64(4),np.int64(6),np.int64(3)),(np.int64(4),np.int64(6),np.int64(2)),(np.int64(4),np.int64(5),np.int64(2)),(np.int64(4),np.int64(4),np.int64(2)),(np.int64(4),np.int64(4),np.int64(1)),(np.int64(4),np.int64(3),np.int64(1)),(np.int64(4),np.int64(2),np.int64(1)),(np.int64(4),np.int64(1),np.int64(1)),(np.int64(3),np.int64(1),np.int64(1)),(np.int64(2),np.int64(1),np.int64(1)),(np.int64(1),np.int64(1),np.int64(1)),(1,1,0)]"
"(4,5)","[(14,10,0),(np.int64(15),np.int64(10),np.int64(0)),(np.int64(16),np.int64(10),np.int64(0)),(np.int64(16),np.int64(9),np.int64(0)),(np.int64(15),np.int64(9),np.int64(0)),(np.int64(15),np.int64(8),np.int64(0)),(np.int64(15),np.int64(7),np.int64(0)),(np.int64(15),np.int64(6),np.int64(0)),(np.int64(15),np.int64(5),np.int64(0)),(16,5,0)]"
"(8,10)","[(12,9,0),(np.int64(12),np.int64(9),np.int64(1)),(np.int64(11),np.int64(9),np.int64(1)),(np.int64(11),np.int64(9),np.int64(2)),(np.int64(10),np.int64(9),np.int64(2)),(np.int64(9),np.int64(9),np.int64(2)),(np.int64(8),np.int64(9),np.int64(2)),(np.int64(7),np.int64(9),np.int64(2)),(np.int64(6),np.int64(9),np.int64(2)),(np.int64(5),np.int64(9),np.int64(2)),(np.int64(4),np.int64(9),np.int64(2)),(np.int64(3),np.int64(9),np.int64(2)),(np.int64(2),np.int64(9),np.int64(2)),(np.int64(1),np.int64(9),np.int64(2)),(np.int64(0),np.int64(9),np.int64(2)),(np.int64(0),np.int64(8),np.int64(2)),(np.int64(0),np.int64(7),np.int64(2)),(np.int64(0),np.int64(7),np.int64(1)),(np.int64(0),np.int64(7),np.int64(0)),(1,7,0)]"
"(24,9)","[(12,9,0),(np.int64(11),np.int64(9),np.int64(0)),(np.int64(11),np.int64(8),np.int64(0)),(np.int64(11),np.int64(8),np.int64(1)),(np.int64(12),np.int64(8),np.int64(1)),(np.int64(13),np.int64(8),np.int64(1)),(np.int64(13),np.int64(7),np.int64(1)),(np.int64(13),np.int64(6),np.int64(1)),(np.int64(13),np.int64(6),np.int64(0)),(13,5,0)]"
"(4,1)","[(1,1,0),(np.int64(0),np.int64(1),np.int64(0)),(np.int64(0),np.int64(2),np.int64(0)),(np.int64(0),np.int64(2),np.int64(1)),(np.int64(0),np.int64(2),np.int64(2)),(np.int64(0),np.int64(2),np.int64(3)),(np.int64(0),np.int64(3),np.int64(3)),(np.int64(0),np.int64(4),np.int64(3)),(np.int64(0),np.int64(5),np.int64(3)),(np.int64(0),np.int64(6),np.int64(3)),(np.int64(0),np.int64(7),np.int64(3)),(np.int64(0),np.int64(8),np.int64(3)),(np.int64(1),np.int64(8),np.int64(3)),(np.int64(2),np.int64(8),np.int64(3)),(np.int64(3),np.int64(8),np.int64(3)),(np.int64(3),np.int64(9),np.int64(3)),(np.int64(3),np.int64(10),np.int64(3)),(np.int64(3),np.int64(11),np.int64(3)),(np.int64(3),np.int64(11),np.int64(2)),(np.int64(3),np.int64(11),np.int64(1)),(np.int64(3),np.int64(11),np.int64(0)),(3,10,0)]"
"(10,14)","[(15,11,0),(np.int64(15),np.int64(10),np.int64(0)),(np.int64(15),np.int64(9),np.int64(0)),(np.int64(14),np.int64(9),np.int64(0)),(np.int64(14),np.int64(8),np.int64(0)),(np.int64(15),np.int64(8),np.int64(0)),(np.int64(15),np.int64(8),np.int64(1)),(np.int64(14),np.int64(8),np.int64(1)),(np.int64(13),np.int64(8),np.int64(1)),(np.int64(13),np.int64(8),np.int64(2)),(np.int64(12),np.int64(8),np.int64(2)),(np.int64(11),np.int64(8),np.int64(2)),(np.int64(10),np.int64(8),np.int64(2)),(np.int64(9),np.int64(8),np.int64(2)),(np.int64(8),np.int64(8),np.int64(2)),(np.int64(7),np.int64(8),np.int64(2)),(np.int64(6),np.int64(8),np.int64(2)),(np.int64(5),np.int64(8),np.int64(2)),(np.int64(4),np.int64(8),np.int64(2)),(np.int64(3),np.int64(8),np.int64(2)),(np.int64(2),np.int64(8),np.int64(2)),(np.int64(2),np.int64(7),np.int64(2)),(np.int64(2),np.int64(6),np.int64(2)),(np.int64(2),np.int64(5),np.int64(2)),(np.int64(2),np.int64(4),np.int64(2)),(np.int64(2),np.int64(4),np.int64(1)),(2,4,0)]"
"(21,20)","[(15,11,0),(np.int64(15),np.int64(11),np.int64(1)),(np.int64(16),np.int64(11),np.int64(1)),(np.int64(16),np.int64(10),np.int64(1)),(np.int64(15),np.int64(10),np.int64(1)),(np.int64(14),np.int64(10),np.int64(1)),(np.int64(13),np.int64(10),np.int64(1)),(np.int64(12),np.int64(10),np.int64(1)),(12,10,0)]"
"(16,6)","[(9,2,0),(np.int64(9),np.int64(3),np.int64(0)),(np.int64(9),np.int64(3),np.int64(1)),(np.int64(8),np.int64(3),np.int64(1)),(np.int64(7),np.int64(3),np.int64(1)),(np.int64(6),np.int64(3),np.int64(1)),(np.int64(6),np.int64(4),np.int64(1)),(6,4,0)]"
"(3,21)","[(2,4,0),(np.int64(1),np.int64(4),np.int64(0)),(np.int64(0),np.int64(4),np.int64(0)),(np.int64(0),np.int64(4),np.int64(1)),(np.int64(0),np.int64(4),np.int64(2)),(np.int64(1),np.int64(4),np.int64(2)),(np.int64(1),np.int64(4),np.int64(3)),(np.int64(2),np.int64(4),np.int64(3)),(np.int64(3),np.int64(4),np.int64(3)),(np.int64(4),np.int64(4),np.int64(3)),(np.int64(5),np.int64(4),np.int64(3)),(np.int64(6),np.int64(4),np.int64(3)),(np.int64(7),np.int64(4),np.int64(3)),(np.int64(8),np.int64(4),np.int64(3)),(np.int64(9),np.int64(4),np.int64(3)),(np.int64(9),np.int64(4),np.int64(2)),(np.int64(9),np.int64(4),np.int64(1)),(9,4,0)]"
"(4,16)","[(10,11,0),(np.int64(10),np.int64(12),np.int64(0)),(np.int64(10),np.int64(12),np.int64(1)),(np.int64(9),np.int64(12),np.int64(1)),(np.int64(8),np.int64(12),np.int64(1)),(np.int64(7),np.int64(12),np.int64(1)),(np.int64(6),np.int64(12),np.int64(1)),(np.int64(5),np.int64(12),np.int64(1)),(np.int64(4),np.int64(12),np.int64(1)),(np.int64(3),np.int64(12),np.int64(1)),(np.int64(2),np.int64(12),np.int64(1)),(np.int64(1),np.int64(12),np.int64(1)),(np.int64(1),np.int64(11),np.int64(1)),(np.int64(1),np.int64(10),np.int64(1)),(np.int64(1),np.int64(9),np.int64(1)),(np.int64(2),np.int64(9),np.int64(1)),(np.int64(2),np.int64(8),np.int64(1)),(np.int64(2),np.int64(7),np.int64(1)),(np.int64(2),np.int64(6),np.int64(1)),(np.int64(1),np.int64(6),np.int64(1)),(np.int64(1),np.int64(5),np.int64(1)),(np.int64(1),np.int64(4),np.int64(1)),(np.int64(1),np.int64(3),np.int64(1)),(1,3,0)]"
"(4,24)","[(15,4,0),(np.int64(14),np.int64(4),np.int64(0)),(np.int64(14),np.int64(3),np.int64(0)),(np.int64(14),np.int64(2),np.int64(0)),(np.int64(14),np.int64(2),np.int64(1)),(np.int64(13),np.int64(2),np.int64(1)),(np.int64(12),np.int64(2),np.int64(1)),(np.int64(12),np.int64(3),np.int64(1)),(np.int64(12),np.int64(4),np.int64(1)),(np.int64(12),np.int64(5),np.int64(1)),(np.int64(12),np.int64(6),np.int64(1)),(np.int64(11),np.int64(6),np.int64(1)),(np.int64(10),np.int64(6),np.int64(1)),(np.int64(10),np.int64(7),np.int64(1)),(np.int64(10),np.int64(8),np.int64(1)),(np.int64(10),np.int64(9),np.int64(1)),(np.int64(10),np.int64(10),np.int64(1)),(np.int64(10),np.int64(11),np.int64(1)),(10,11,0)]"
chip_1_net_4,2229
