net,wires
"(24,21)","[(12,1,0),(np.int64(13),np.int64(1),np.int64(0)),(np.int64(14),np.int64(1),np.int64(0)),(np.int64(15),np.int64(1),np.int64(0)),(np.int64(15),np.int64(1),np.int64(1)),(np.int64(15),np.int64(1),np.int64(2)),(np.int64(15),np.int64(2),np.int64(2)),(np.int64(15),np.int64(3),np.int64(2)),(np.int64(15),np.int64(3),np.int64(3)),(np.int64(15),np.int64(4),np.int64(3)),(np.int64(15),np.int64(5),np.int64(3)),(np.int64(15),np.int64(6),np.int64(3)),(np.int64(15),np.int64(6),np.int64(2)),(np.int64(15),np.int64(6),np.int64(1)),(np.int64(15),np.int64(6),np.int64(0)),(np.int64(16),np.int64(6),np.int64(0)),(16,7,0)]"
"(14,20)","[(15,4,0),(np.int64(14),np.int64(4),np.int64(0)),(np.int64(14),np.int64(3),np.int64(0)),(np.int64(14),np.int64(3),np.int64(1)),(np.int64(13),np.int64(3),np.int64(1)),(np.int64(12),np.int64(3),np.int64(1)),(np.int64(12),np.int64(3),np.int64(2)),(np.int64(11),np.int64(3),np.int64(2)),(np.int64(10),np.int64(3),np.int64(2)),(np.int64(9),np.int64(3),np.int64(2)),(np.int64(9),np.int64(4),np.int64(2)),(np.int64(9),np.int64(4),np.int64(3)),(np.int64(8),np.int64(4),np.int64(3)),(np.int64(8),np.int64(5),np.int64(3)),(np.int64(8),np.int64(6),np.int64(3)),(np.int64(8),np.int64(7),np.int64(3)),(np.int64(8),np.int64(7),np.int64(4)),(np.int64(7),np.int64(7),np.int64(4)),(np.int64(6),np.int64(7),np.int64(4)),(np.int64(5),np.int64(7),np.int64(4)),(np.int64(4),np.int64(7),np.int64(4)),(np.int64(3),np.int64(7),np.int64(4)),(np.int64(2),np.int64(7),np.int64(4)),(np.int64(1),np.int64(7),np.int64(4)),(np.int64(1),np.int64(7),np.int64(3)),(np.int64(1),np.int64(7),np.int64(2)),(np.int64(1),np.int64(7),np.int64(1)),(1,7,0)]"
"(5,1)","[(14,10,0),(np.int64(15),np.int64(10),np.int64(0)),(np.int64(15),np.int64(10),np.int64(1)),(np.int64(15),np.int64(10),np.int64(2)),(np.int64(14),np.int64(10),np.int64(2)),(np.int64(13),np.int64(10),np.int64(2)),(np.int64(12),np.int64(10),np.int64(2)),(np.int64(11),np.int64(10),np.int64(2)),(np.int64(10),np.int64(10),np.int64(2)),(np.int64(10),np.int64(9),np.int64(2)),(np.int64(10),np.int64(9),np.int64(3)),(np.int64(9),np.int64(9),np.int64(3)),(np.int64(8),np.int64(9),np.int64(3)),(np.int64(8),np.int64(9),np.int64(2)),(np.int64(7),np.int64(9),np.int64(2)),(np.int64(6),np.int64(9),np.int64(2)),(np.int64(5),np.int64(9),np.int64(2)),(np.int64(4),np.int64(9),np.int64(2)),(np.int64(3),np.int64(9),np.int64(2)),(np.int64(2),np.int64(9),np.int64(2)),(np.int64(1),np.int64(9),np.int64(2)),(np.int64(1),np.int64(8),np.int64(2)),(np.int64(1),np.int64(8),np.int64(1)),(np.int64(1),np.int64(8),np.int64(0)),(1,7,0)]"
"(19,14)","[(8,8,0),(np.int64(7),np.int64(8),np.int64(0)),(np.int64(7),np.int64(8),np.int64(1)),(np.int64(7),np.int64(7),np.int64(1)),(np.int64(7),np.int64(6),np.int64(1)),(np.int64(7),np.int64(5),np.int64(1)),(np.int64(7),np.int64(4),np.int64(1)),(np.int64(7),np.int64(3),np.int64(1)),(np.int64(6),np.int64(3),np.int64(1)),(np.int64(6),np.int64(2),np.int64(1)),(np.int64(6),np.int64(1),np.int64(1)),(np.int64(5),np.int64(1),np.int64(1)),(np.int64(4),np.int64(1),np.int64(1)),(np.int64(3),np.int64(1),np.int64(1)),(np.int64(3),np.int64(0),np.int64(1)),(np.int64(2),np.int64(0),np.int64(1)),(np.int64(1),np.int64(0),np.int64(1)),(np.int64(1),np.int64(0),np.int64(0)),(1,1,0)]"
"(12,8)","[(13,5,0),(np.int64(14),np.int64(5),np.int64(0)),(np.int64(14),np.int64(5),np.int64(1)),(np.int64(14),np.int64(4),np.int64(1)),(np.int64(15),np.int64(4),np.int64(1)),(15,4,0)]"
"(3,6)","[(16,7,0),(np.int64(16),np.int64(8),np.int64(0)),(np.int64(15),np.int64(8),np.int64(0)),(np.int64(14),np.int64(8),np.int64(0)),(np.int64(13),np.int64(8),np.int64(0)),(np.int64(13),np.int64(7),np.int64(0)),(np.int64(13),np.int64(6),np.int64(0)),(13,5,0)]"
"(11,5)","[(2,4,0),(np.int64(3),np.int64(4),np.int64(0)),(np.int64(3),np.int64(4),np.int64(1)),(np.int64(3),np.int64(4),np.int64(2)),(np.int64(3),np.int64(4),np.int64(3)),(np.int64(4),np.int64(4),np.int64(3)),(np.int64(5),np.int64(4),np.int64(3)),(np.int64(6),np.int64(4),np.int64(3)),(np.int64(6),np.int64(4),np.int64(4)),(np.int64(7),np.int64(4),np.int64(4)),(np.int64(8),np.int64(4),np.int64(4)),(np.int64(9),np.int64(4),np.int64(4)),(np.int64(10),np.int64(4),np.int64(4)),(np.int64(11),np.int64(4),np.int64(4)),(np.int64(12),np.int64(4),np.int64(4)),(np.int64(13),np.int64(4),np.int64(4)),(np.int64(13),np.int64(5),np.int64(4)),(np.int64(13),np.int64(5),np.int64(3)),(np.int64(13),np.int64(5),np.int64(2)),(np.int64(13),np.int64(5),np.int64(1)),(13,5,0)]"
"(23,19)","[(16,5,0),(np.int64(16),np.int64(4),np.int64(0)),(np.int64(16),np.int64(4),np.int64(1)),(np.int64(16),np.int64(4),np.int64(2)),(np.int64(15),np.int64(4),np.int64(2)),(np.int64(14),np.int64(4),np.int64(2)),(np.int64(14),np.int64(5),np.int64(2)),(np.int64(14),np.int64(6),np.int64(2)),(np.int64(13),np.int64(6),np.int64(2)),(np.int64(12),np.int64(6),np.int64(2)),(np.int64(11),np.int64(6),np.int64(2)),(np.int64(10),np.int64(6),np.int64(2)),(np.int64(10),np.int64(7),np.int64(2)),(np.int64(10),np.int64(8),np.int64(2)),(np.int64(10),np.int64(8),np.int64(1)),(np.int64(10),np.int64(8),np.int64(0)),(np.int64(10),np.int64(9),np.int64(0)),(np.int64(11),np.int64(9),np.int64(0)),(12,9,0)]"
"(14,12)","[(11,7,0),(np.int64(12),np.int64(7),np.int64(0)),(np.int64(12),np.int64(8),np.int64(0)),(12,9,0)]"
"(16,11)","[(11,7,0),(np.int64(10),np.int64(7),np.int64(0)),(np.int64(9),np.int64(7),np.int64(0)),(np.int64(8),np.int64(7),np.int64(0)),(np.int64(7),np.int64(7),np.int64(0)),(np.int64(6),np.int64(7),np.int64(0)),(np.int64(5),np.int64(7),np.int64(0)),(np.int64(5),np.int64(6),np.int64(0)),(np.int64(4),np.int64(6),np.int64(0)),(np.int64(3),np.int64(6),np.int64(0)),(np.int64(3),np.int64(5),np.int64(0)),(np.int64(3),np.int64(5),np.int64(1)),(np.int64(2),np.int64(5),np.int64(1)),(np.int64(2),np.int64(4),np.int64(1)),(2,4,0)]"
