net,wires
"(10,6)","[(10,10,0),(np.int64(11),np.int64(10),np.int64(0)),(np.int64(11),np.int64(9),np.int64(0)),(np.int64(12),np.int64(9),np.int64(0)),(np.int64(12),np.int64(8),np.int64(0)),(np.int64(12),np.int64(7),np.int64(0)),(np.int64(11),np.int64(7),np.int64(0)),(np.int64(11),np.int64(6),np.int64(0)),(np.int64(11),np.int64(5),np.int64(0)),(np.int64(11),np.int64(4),np.int64(0)),(np.int64(11),np.int64(3),np.int64(0)),(np.int64(11),np.int64(2),np.int64(0)),(11,1,0)]"
"(49,48)","[(4,4,0),(np.int64(5),np.int64(4),np.int64(0)),(np.int64(6),np.int64(4),np.int64(0)),(7,4,0)]"
"(23,31)","[(7,8,0),(np.int64(8),np.int64(8),np.int64(0)),(np.int64(8),np.int64(9),np.int64(0)),(np.int64(9),np.int64(9),np.int64(0)),(np.int64(10),np.int64(9),np.int64(0)),(np.int64(11),np.int64(9),np.int64(0)),(np.int64(11),np.int64(9),np.int64(1)),(np.int64(12),np.int64(9),np.int64(1)),(np.int64(13),np.int64(9),np.int64(1)),(np.int64(14),np.int64(9),np.int64(1)),(np.int64(15),np.int64(9),np.int64(1)),(np.int64(16),np.int64(9),np.int64(1)),(np.int64(17),np.int64(9),np.int64(1)),(np.int64(17),np.int64(10),np.int64(1)),(np.int64(16),np.int64(10),np.int64(1)),(np.int64(15),np.int64(10),np.int64(1)),(15,10,0)]"
"(19,12)","[(15,8,0),(np.int64(14),np.int64(8),np.int64(0)),(np.int64(14),np.int64(9),np.int64(0)),(np.int64(14),np.int64(10),np.int64(0)),(np.int64(13),np.int64(10),np.int64(0)),(np.int64(13),np.int64(11),np.int64(0)),(np.int64(12),np.int64(11),np.int64(0)),(np.int64(12),np.int64(12),np.int64(0)),(12,13,0)]"
"(37,38)","[(1,15,0),(np.int64(2),np.int64(15),np.int64(0)),(np.int64(3),np.int64(15),np.int64(0)),(np.int64(4),np.int64(15),np.int64(0)),(np.int64(5),np.int64(15),np.int64(0)),(np.int64(5),np.int64(16),np.int64(0)),(np.int64(6),np.int64(16),np.int64(0)),(np.int64(7),np.int64(16),np.int64(0)),(np.int64(8),np.int64(16),np.int64(0)),(np.int64(9),np.int64(16),np.int64(0)),(np.int64(10),np.int64(16),np.int64(0)),(np.int64(11),np.int64(16),np.int64(0)),(np.int64(12),np.int64(16),np.int64(0)),(np.int64(13),np.int64(16),np.int64(0)),(np.int64(13),np.int64(15),np.int64(0)),(np.int64(12),np.int64(15),np.int64(0)),(np.int64(12),np.int64(15),np.int64(1)),(np.int64(12),np.int64(14),np.int64(1)),(np.int64(12),np.int64(13),np.int64(1)),(np.int64(12),np.int64(12),np.int64(1)),(np.int64(12),np.int64(11),np.int64(1)),(np.int64(12),np.int64(10),np.int64(1)),(12,10,0)]"
"(21,30)","[(6,15,0),(np.int64(7),np.int64(15),np.int64(0)),(np.int64(8),np.int64(15),np.int64(0)),(np.int64(9),np.int64(15),np.int64(0)),(np.int64(9),np.int64(16),np.int64(0)),(np.int64(9),np.int64(16),np.int64(1)),(np.int64(10),np.int64(16),np.int64(1)),(np.int64(11),np.int64(16),np.int64(1)),(np.int64(12),np.int64(16),np.int64(1)),(np.int64(13),np.int64(16),np.int64(1)),(np.int64(14),np.int64(16),np.int64(1)),(np.int64(15),np.int64(16),np.int64(1)),(np.int64(16),np.int64(16),np.int64(1)),(np.int64(16),np.int64(15),np.int64(1)),(np.int64(15),np.int64(15),np.int64(1)),(15,15,0)]"
"(26,25)","[(6,8,0),(np.int64(5),np.int64(8),np.int64(0)),(np.int64(4),np.int64(8),np.int64(0)),(np.int64(3),np.int64(8),np.int64(0)),(np.int64(3),np.int64(9),np.int64(0)),(np.int64(4),np.int64(9),np.int64(0)),(np.int64(5),np.int64(9),np.int64(0)),(np.int64(5),np.int64(10),np.int64(0)),(np.int64(6),np.int64(10),np.int64(0)),(np.int64(6),np.int64(11),np.int64(0)),(np.int64(6),np.int64(12),np.int64(0)),(6,13,0)]"
"(45,43)","[(15,4,0),(np.int64(15),np.int64(3),np.int64(0)),(np.int64(15),np.int64(3),np.int64(1)),(np.int64(15),np.int64(2),np.int64(1)),(np.int64(15),np.int64(1),np.int64(1)),(np.int64(14),np.int64(1),np.int64(1)),(np.int64(13),np.int64(1),np.int64(1)),(13,1,0)]"
"(5,9)","[(11,1,0),(np.int64(12),np.int64(1),np.int64(0)),(np.int64(12),np.int64(0),np.int64(0)),(np.int64(12),np.int64(0),np.int64(1)),(np.int64(12),np.int64(0),np.int64(2)),(np.int64(12),np.int64(1),np.int64(2)),(np.int64(12),np.int64(2),np.int64(2)),(np.int64(12),np.int64(3),np.int64(2)),(np.int64(12),np.int64(3),np.int64(3)),(np.int64(12),np.int64(4),np.int64(3)),(np.int64(12),np.int64(5),np.int64(3)),(np.int64(12),np.int64(6),np.int64(3)),(np.int64(12),np.int64(7),np.int64(3)),(np.int64(12),np.int64(8),np.int64(3)),(np.int64(12),np.int64(9),np.int64(3)),(np.int64(12),np.int64(10),np.int64(3)),(np.int64(12),np.int64(11),np.int64(3)),(np.int64(13),np.int64(11),np.int64(3)),(np.int64(13),np.int64(12),np.int64(3)),(np.int64(13),np.int64(13),np.int64(3)),(np.int64(13),np.int64(14),np.int64(3)),(np.int64(13),np.int64(14),np.int64(2)),(np.int64(13),np.int64(14),np.int64(1)),(np.int64(13),np.int64(14),np.int64(0)),(12,14,0)]"
"(35,22)","[(13,9,0),(np.int64(14),np.int64(9),np.int64(0)),(np.int64(15),np.int64(9),np.int64(0)),(np.int64(15),np.int64(9),np.int64(1)),(np.int64(15),np.int64(10),np.int64(1)),(np.int64(14),np.int64(10),np.int64(1)),(np.int64(13),np.int64(10),np.int64(1)),(np.int64(12),np.int64(10),np.int64(1)),(np.int64(11),np.int64(10),np.int64(1)),(np.int64(10),np.int64(10),np.int64(1)),(np.int64(9),np.int64(10),np.int64(1)),(np.int64(8),np.int64(10),np.int64(1)),(np.int64(7),np.int64(10),np.int64(1)),(np.int64(6),np.int64(10),np.int64(1)),(np.int64(6),np.int64(9),np.int64(1)),(6,9,0)]"
