net,wires
"(21,11)","[(15,11,0),(np.int64(14),np.int64(11),np.int64(0)),(np.int64(13),np.int64(11),np.int64(0)),(np.int64(12),np.int64(11),np.int64(0)),(np.int64(12),np.int64(11),np.int64(1)),(np.int64(12),np.int64(11),np.int64(2)),(np.int64(11),np.int64(11),np.int64(2)),(np.int64(11),np.int64(12),np.int64(2)),(np.int64(10),np.int64(12),np.int64(2)),(np.int64(9),np.int64(12),np.int64(2)),(np.int64(8),np.int64(12),np.int64(2)),(np.int64(7),np.int64(12),np.int64(2)),(np.int64(6),np.int64(12),np.int64(2)),(np.int64(5),np.int64(12),np.int64(2)),(np.int64(4),np.int64(12),np.int64(2)),(np.int64(3),np.int64(12),np.int64(2)),(np.int64(2),np.int64(12),np.int64(2)),(np.int64(1),np.int64(12),np.int64(2)),(np.int64(1),np.int64(11),np.int64(2)),(np.int64(1),np.int64(10),np.int64(2)),(np.int64(1),np.int64(9),np.int64(2)),(np.int64(1),np.int64(8),np.int64(2)),(np.int64(1),np.int64(7),np.int64(2)),(np.int64(1),np.int64(6),np.int64(2)),(np.int64(1),np.int64(5),np.int64(2)),(np.int64(1),np.int64(4),np.int64(2)),(np.int64(1),np.int64(3),np.int64(2)),(np.int64(1),np.int64(2),np.int64(2)),(np.int64(1),np.int64(1),np.int64(2)),(np.int64(1),np.int64(1),np.int64(1)),(1,1,0)]"
"(23,12)","[(11,7,0),(np.int64(11),np.int64(7),np.int64(1)),(np.int64(11),np.int64(6),np.int64(1)),(np.int64(12),np.int64(6),np.int64(1)),(np.int64(12),np.int64(6),np.int64(2)),(np.int64(12),np.int64(5),np.int64(2)),(np.int64(12),np.int64(4),np.int64(2)),(np.int64(12),np.int64(3),np.int64(2)),(np.int64(12),np.int64(2),np.int64(2)),(np.int64(12),np.int64(1),np.int64(2)),(np.int64(12),np.int64(1),np.int64(1)),(12,1,0)]"
"(12,25)","[(2,4,0),(np.int64(2),np.int64(3),np.int64(0)),(2,2,0)]"
"(7,15)","[(2,4,0),(np.int64(1),np.int64(4),np.int64(0)),(np.int64(1),np.int64(4),np.int64(1)),(np.int64(2),np.int64(4),np.int64(1)),(np.int64(3),np.int64(4),np.int64(1)),(np.int64(4),np.int64(4),np.int64(1)),(np.int64(5),np.int64(4),np.int64(1)),(np.int64(6),np.int64(4),np.int64(1)),(np.int64(7),np.int64(4),np.int64(1)),(np.int64(8),np.int64(4),np.int64(1)),(np.int64(9),np.int64(4),np.int64(1)),(9,4,0)]"
"(17,10)","[(6,4,0),(np.int64(6),np.int64(5),np.int64(0)),(np.int64(6),np.int64(5),np.int64(1)),(np.int64(5),np.int64(5),np.int64(1)),(np.int64(4),np.int64(5),np.int64(1)),(np.int64(4),np.int64(5),np.int64(2)),(np.int64(4),np.int64(5),np.int64(3)),(np.int64(3),np.int64(5),np.int64(3)),(np.int64(2),np.int64(5),np.int64(3)),(np.int64(1),np.int64(5),np.int64(3)),(np.int64(0),np.int64(5),np.int64(3)),(np.int64(0),np.int64(5),np.int64(2)),(np.int64(0),np.int64(5),np.int64(1)),(np.int64(1),np.int64(5),np.int64(1)),(np.int64(1),np.int64(6),np.int64(1)),(np.int64(1),np.int64(7),np.int64(1)),(1,7,0)]"
"(20,6)","[(1,3,0),(np.int64(0),np.int64(3),np.int64(0)),(np.int64(0),np.int64(4),np.int64(0)),(np.int64(0),np.int64(5),np.int64(0)),(np.int64(0),np.int64(6),np.int64(0)),(np.int64(0),np.int64(6),np.int64(1)),(np.int64(0),np.int64(6),np.int64(2)),(np.int64(0),np.int64(6),np.int64(3)),(np.int64(1),np.int64(6),np.int64(3)),(np.int64(2),np.int64(6),np.int64(3)),(np.int64(3),np.int64(6),np.int64(3)),(np.int64(4),np.int64(6),np.int64(3)),(np.int64(4),np.int64(6),np.int64(2)),(np.int64(4),np.int64(6),np.int64(1)),(np.int64(4),np.int64(6),np.int64(0)),(4,7,0)]"
"(16,9)","[(6,11,0),(np.int64(5),np.int64(11),np.int64(0)),(np.int64(4),np.int64(11),np.int64(0)),(np.int64(3),np.int64(11),np.int64(0)),(np.int64(2),np.int64(11),np.int64(0)),(1,11,0)]"
"(11,8)","[(9,2,0),(np.int64(8),np.int64(2),np.int64(0)),(np.int64(7),np.int64(2),np.int64(0)),(np.int64(6),np.int64(2),np.int64(0)),(np.int64(6),np.int64(3),np.int64(0)),(6,4,0)]"
"(24,5)","[(1,3,0),(np.int64(1),np.int64(3),np.int64(1)),(np.int64(2),np.int64(3),np.int64(1)),(np.int64(3),np.int64(3),np.int64(1)),(np.int64(4),np.int64(3),np.int64(1)),(np.int64(5),np.int64(3),np.int64(1)),(np.int64(6),np.int64(3),np.int64(1)),(np.int64(7),np.int64(3),np.int64(1)),(np.int64(8),np.int64(3),np.int64(1)),(np.int64(9),np.int64(3),np.int64(1)),(np.int64(10),np.int64(3),np.int64(1)),(np.int64(10),np.int64(4),np.int64(1)),(np.int64(10),np.int64(4),np.int64(2)),(np.int64(10),np.int64(4),np.int64(3)),(np.int64(11),np.int64(4),np.int64(3)),(np.int64(12),np.int64(4),np.int64(3)),(np.int64(13),np.int64(4),np.int64(3)),(np.int64(13),np.int64(4),np.int64(2)),(np.int64(14),np.int64(4),np.int64(2)),(np.int64(15),np.int64(4),np.int64(2)),(np.int64(15),np.int64(4),np.int64(1)),(15,4,0)]"
"(20,3)","[(13,5,0),(np.int64(13),np.int64(5),np.int64(1)),(np.int64(13),np.int64(5),np.int64(2)),(np.int64(13),np.int64(5),np.int64(3)),(np.int64(12),np.int64(5),np.int64(3)),(np.int64(11),np.int64(5),np.int64(3)),(np.int64(10),np.int64(5),np.int64(3)),(np.int64(10),np.int64(5),np.int64(2)),(np.int64(10),np.int64(5),np.int64(1)),(np.int64(10),np.int64(5),np.int64(0)),(np.int64(10),np.int64(4),np.int64(0)),(11,4,0)]"
"(4,5)","[(1,1,0),(np.int64(1),np.int64(2),np.int64(0)),(np.int64(1),np.int64(2),np.int64(1)),(np.int64(2),np.int64(2),np.int64(1)),(np.int64(3),np.int64(2),np.int64(1)),(np.int64(3),np.int64(2),np.int64(2)),(np.int64(3),np.int64(3),np.int64(2)),(np.int64(3),np.int64(4),np.int64(2)),(np.int64(3),np.int64(5),np.int64(2)),(np.int64(3),np.int64(6),np.int64(2)),(np.int64(3),np.int64(7),np.int64(2)),(np.int64(3),np.int64(8),np.int64(2)),(np.int64(3),np.int64(9),np.int64(2)),(np.int64(3),np.int64(10),np.int64(2)),(np.int64(3),np.int64(10),np.int64(1)),(3,10,0)]"
"(8,10)","[(15,11,0),(np.int64(15),np.int64(10),np.int64(0)),(np.int64(15),np.int64(10),np.int64(1)),(np.int64(14),np.int64(10),np.int64(1)),(np.int64(13),np.int64(10),np.int64(1)),(np.int64(13),np.int64(10),np.int64(0)),(12,10,0)]"
"(24,9)","[(1,7,0),(np.int64(1),np.int64(8),np.int64(0)),(np.int64(0),np.int64(8),np.int64(0)),(np.int64(0),np.int64(8),np.int64(1)),(np.int64(0),np.int64(8),np.int64(2)),(np.int64(0),np.int64(8),np.int64(3)),(np.int64(1),np.int64(8),np.int64(3)),(np.int64(2),np.int64(8),np.int64(3)),(np.int64(3),np.int64(8),np.int64(3)),(np.int64(4),np.int64(8),np.int64(3)),(np.int64(5),np.int64(8),np.int64(3)),(np.int64(6),np.int64(8),np.int64(3)),(np.int64(7),np.int64(8),np.int64(3)),(np.int64(8),np.int64(8),np.int64(3)),(np.int64(9),np.int64(8),np.int64(3)),(np.int64(10),np.int64(8),np.int64(3)),(np.int64(11),np.int64(8),np.int64(3)),(np.int64(12),np.int64(8),np.int64(3)),(np.int64(13),np.int64(8),np.int64(3)),(np.int64(14),np.int64(8),np.int64(3)),(np.int64(14),np.int64(7),np.int64(3)),(np.int64(14),np.int64(6),np.int64(3)),(np.int64(14),np.int64(5),np.int64(3)),(np.int64(14),np.int64(5),np.int64(2)),(np.int64(14),np.int64(5),np.int64(1)),(np.int64(14),np.int64(5),np.int64(0)),(13,5,0)]"
"(4,1)","[(12,10,0),(12,9,0)]"
"(10,14)","[(9,2,0),(np.int64(9),np.int64(3),np.int64(0)),(np.int64(10),np.int64(3),np.int64(0)),(np.int64(11),np.int64(3),np.int64(0)),(np.int64(12),np.int64(3),np.int64(0)),(np.int64(13),np.int64(3),np.int64(0)),(np.int64(13),np.int64(4),np.int64(0)),(13,5,0)]"
"(21,20)","[(15,11,0),(np.int64(15),np.int64(12),np.int64(0)),(np.int64(15),np.int64(12),np.int64(1)),(np.int64(14),np.int64(12),np.int64(1)),(np.int64(13),np.int64(12),np.int64(1)),(np.int64(12),np.int64(12),np.int64(1)),(np.int64(11),np.int64(12),np.int64(1)),(np.int64(10),np.int64(12),np.int64(1)),(np.int64(9),np.int64(12),np.int64(1)),(np.int64(8),np.int64(12),np.int64(1)),(np.int64(7),np.int64(12),np.int64(1)),(np.int64(6),np.int64(12),np.int64(1)),(np.int64(5),np.int64(12),np.int64(1)),(np.int64(4),np.int64(12),np.int64(1)),(np.int64(3),np.int64(12),np.int64(1)),(np.int64(2),np.int64(12),np.int64(1)),(np.int64(2),np.int64(11),np.int64(1)),(np.int64(2),np.int64(10),np.int64(1)),(np.int64(2),np.int64(9),np.int64(1)),(np.int64(2),np.int64(8),np.int64(1)),(np.int64(2),np.int64(7),np.int64(1)),(np.int64(2),np.int64(6),np.int64(1)),(np.int64(2),np.int64(5),np.int64(1)),(np.int64(2),np.int64(4),np.int64(1)),(2,4,0)]"
"(16,6)","[(4,7,0),(np.int64(5),np.int64(7),np.int64(0)),(np.int64(5),np.int64(8),np.int64(0)),(np.int64(6),np.int64(8),np.int64(0)),(np.int64(7),np.int64(8),np.int64(0)),(np.int64(7),np.int64(9),np.int64(0)),(np.int64(7),np.int64(9),np.int64(1)),(np.int64(8),np.int64(9),np.int64(1)),(np.int64(9),np.int64(9),np.int64(1)),(np.int64(10),np.int64(9),np.int64(1)),(np.int64(11),np.int64(9),np.int64(1)),(np.int64(12),np.int64(9),np.int64(1)),(12,9,0)]"
"(3,21)","[(15,11,0),(np.int64(15),np.int64(11),np.int64(1)),(np.int64(15),np.int64(10),np.int64(1)),(np.int64(15),np.int64(10),np.int64(2)),(np.int64(14),np.int64(10),np.int64(2)),(np.int64(13),np.int64(10),np.int64(2)),(np.int64(12),np.int64(10),np.int64(2)),(np.int64(11),np.int64(10),np.int64(2)),(np.int64(10),np.int64(10),np.int64(2)),(np.int64(9),np.int64(10),np.int64(2)),(np.int64(8),np.int64(10),np.int64(2)),(np.int64(7),np.int64(10),np.int64(2)),(np.int64(6),np.int64(10),np.int64(2)),(np.int64(5),np.int64(10),np.int64(2)),(np.int64(4),np.int64(10),np.int64(2)),(np.int64(4),np.int64(10),np.int64(1)),(np.int64(4),np.int64(10),np.int64(0)),(3,10,0)]"
"(4,16)","[(15,4,0),(np.int64(16),np.int64(4),np.int64(0)),(np.int64(16),np.int64(4),np.int64(1)),(np.int64(16),np.int64(5),np.int64(1)),(np.int64(15),np.int64(5),np.int64(1)),(np.int64(15),np.int64(6),np.int64(1)),(np.int64(14),np.int64(6),np.int64(1)),(np.int64(13),np.int64(6),np.int64(1)),(np.int64(13),np.int64(7),np.int64(1)),(np.int64(12),np.int64(7),np.int64(1)),(np.int64(12),np.int64(8),np.int64(1)),(np.int64(11),np.int64(8),np.int64(1)),(np.int64(10),np.int64(8),np.int64(1)),(np.int64(9),np.int64(8),np.int64(1)),(np.int64(9),np.int64(8),np.int64(0)),(np.int64(9),np.int64(9),np.int64(0)),(np.int64(9),np.int64(10),np.int64(0)),(np.int64(10),np.int64(10),np.int64(0)),(10,11,0)]"
"(4,24)","[(10,11,0),(np.int64(9),np.int64(11),np.int64(0)),(np.int64(8),np.int64(11),np.int64(0)),(np.int64(7),np.int64(11),np.int64(0)),(np.int64(7),np.int64(10),np.int64(0)),(np.int64(6),np.int64(10),np.int64(0)),(np.int64(5),np.int64(10),np.int64(0)),(np.int64(4),np.int64(10),np.int64(0)),(np.int64(4),np.int64(9),np.int64(0)),(np.int64(3),np.int64(9),np.int64(0)),(np.int64(2),np.int64(9),np.int64(0)),(np.int64(2),np.int64(8),np.int64(0)),(np.int64(2),np.int64(7),np.int64(0)),(np.int64(2),np.int64(6),np.int64(0)),(np.int64(1),np.int64(6),np.int64(0)),(np.int64(1),np.int64(5),np.int64(0)),(np.int64(1),np.int64(4),np.int64(0)),(1,3,0)]"
chip_1_net_4,1933
