net,wires
"(49,25)","[(15,15,0),(np.int64(16),np.int64(15),np.int64(0)),(np.int64(16),np.int64(14),np.int64(0)),(np.int64(16),np.int64(13),np.int64(0)),(np.int64(16),np.int64(12),np.int64(0)),(np.int64(17),np.int64(12),np.int64(0)),(np.int64(17),np.int64(11),np.int64(0)),(np.int64(17),np.int64(10),np.int64(0)),(np.int64(17),np.int64(9),np.int64(0)),(np.int64(17),np.int64(8),np.int64(0)),(np.int64(17),np.int64(7),np.int64(0)),(np.int64(17),np.int64(6),np.int64(0)),(np.int64(17),np.int64(5),np.int64(0)),(np.int64(16),np.int64(5),np.int64(0)),(np.int64(16),np.int64(4),np.int64(0)),(np.int64(16),np.int64(3),np.int64(0)),(np.int64(15),np.int64(3),np.int64(0)),(np.int64(15),np.int64(2),np.int64(0)),(np.int64(15),np.int64(2),np.int64(1)),(np.int64(14),np.int64(2),np.int64(1)),(np.int64(13),np.int64(2),np.int64(1)),(np.int64(13),np.int64(1),np.int64(1)),(13,1,0)]"
"(21,41)","[(11,1,0),(np.int64(11),np.int64(2),np.int64(0)),(np.int64(11),np.int64(2),np.int64(1)),(np.int64(11),np.int64(3),np.int64(1)),(np.int64(11),np.int64(4),np.int64(1)),(np.int64(11),np.int64(5),np.int64(1)),(np.int64(11),np.int64(6),np.int64(1)),(np.int64(12),np.int64(6),np.int64(1)),(np.int64(12),np.int64(6),np.int64(2)),(np.int64(13),np.int64(6),np.int64(2)),(np.int64(13),np.int64(7),np.int64(2)),(np.int64(13),np.int64(8),np.int64(2)),(np.int64(13),np.int64(9),np.int64(2)),(np.int64(13),np.int64(10),np.int64(2)),(np.int64(13),np.int64(10),np.int64(1)),(np.int64(13),np.int64(10),np.int64(0)),(np.int64(14),np.int64(10),np.int64(0)),(15,10,0)]"
"(27,25)","[(8,12,0),(np.int64(9),np.int64(12),np.int64(0)),(np.int64(9),np.int64(13),np.int64(0)),(np.int64(9),np.int64(14),np.int64(0)),(np.int64(8),np.int64(14),np.int64(0)),(np.int64(7),np.int64(14),np.int64(0)),(np.int64(6),np.int64(14),np.int64(0)),(np.int64(5),np.int64(14),np.int64(0)),(np.int64(5),np.int64(13),np.int64(0)),(np.int64(4),np.int64(13),np.int64(0)),(np.int64(4),np.int64(12),np.int64(0)),(4,11,0)]"
"(36,27)","[(15,15,0),(np.int64(15),np.int64(16),np.int64(0)),(np.int64(14),np.int64(16),np.int64(0)),(np.int64(13),np.int64(16),np.int64(0)),(np.int64(12),np.int64(16),np.int64(0)),(np.int64(11),np.int64(16),np.int64(0)),(np.int64(10),np.int64(16),np.int64(0)),(np.int64(10),np.int64(16),np.int64(1)),(np.int64(10),np.int64(16),np.int64(2)),(np.int64(9),np.int64(16),np.int64(2)),(np.int64(9),np.int64(16),np.int64(3)),(np.int64(8),np.int64(16),np.int64(3)),(np.int64(7),np.int64(16),np.int64(3)),(np.int64(6),np.int64(16),np.int64(3)),(np.int64(5),np.int64(16),np.int64(3)),(np.int64(4),np.int64(16),np.int64(3)),(np.int64(3),np.int64(16),np.int64(3)),(np.int64(2),np.int64(16),np.int64(3)),(np.int64(1),np.int64(16),np.int64(3)),(np.int64(1),np.int64(15),np.int64(3)),(np.int64(1),np.int64(14),np.int64(3)),(np.int64(1),np.int64(13),np.int64(3)),(np.int64(1),np.int64(12),np.int64(3)),(np.int64(1),np.int64(11),np.int64(3)),(np.int64(1),np.int64(10),np.int64(3)),(np.int64(1),np.int64(9),np.int64(3)),(np.int64(1),np.int64(8),np.int64(3)),(np.int64(1),np.int64(7),np.int64(3)),(np.int64(1),np.int64(6),np.int64(3)),(np.int64(1),np.int64(6),np.int64(2)),(np.int64(1),np.int64(6),np.int64(1)),(np.int64(1),np.int64(6),np.int64(0)),(1,7,0)]"
"(9,29)","[(12,10,0),(np.int64(12),np.int64(10),np.int64(1)),(np.int64(12),np.int64(11),np.int64(1)),(np.int64(12),np.int64(12),np.int64(1)),(np.int64(12),np.int64(12),np.int64(2)),(np.int64(12),np.int64(13),np.int64(2)),(np.int64(13),np.int64(13),np.int64(2)),(np.int64(14),np.int64(13),np.int64(2)),(np.int64(14),np.int64(14),np.int64(2)),(np.int64(15),np.int64(14),np.int64(2)),(np.int64(15),np.int64(14),np.int64(1)),(np.int64(15),np.int64(14),np.int64(0)),(14,14,0)]"
"(5,24)","[(6,2,0),(np.int64(7),np.int64(2),np.int64(0)),(np.int64(7),np.int64(2),np.int64(1)),(np.int64(7),np.int64(2),np.int64(2)),(np.int64(7),np.int64(2),np.int64(3)),(np.int64(7),np.int64(3),np.int64(3)),(np.int64(7),np.int64(3),np.int64(4)),(np.int64(7),np.int64(4),np.int64(4)),(np.int64(7),np.int64(5),np.int64(4)),(np.int64(7),np.int64(6),np.int64(4)),(np.int64(7),np.int64(6),np.int64(5)),(np.int64(7),np.int64(7),np.int64(5)),(np.int64(7),np.int64(8),np.int64(5)),(np.int64(7),np.int64(9),np.int64(5)),(np.int64(7),np.int64(10),np.int64(5)),(np.int64(8),np.int64(10),np.int64(5)),(np.int64(8),np.int64(10),np.int64(4)),(np.int64(8),np.int64(10),np.int64(3)),(np.int64(8),np.int64(10),np.int64(2)),(np.int64(8),np.int64(10),np.int64(1)),(np.int64(9),np.int64(10),np.int64(1)),(np.int64(10),np.int64(10),np.int64(1)),(np.int64(10),np.int64(11),np.int64(1)),(10,11,0)]"
"(34,31)","[(4,4,0),(np.int64(5),np.int64(4),np.int64(0)),(np.int64(5),np.int64(4),np.int64(1)),(np.int64(5),np.int64(4),np.int64(2)),(np.int64(5),np.int64(5),np.int64(2)),(np.int64(5),np.int64(6),np.int64(2)),(np.int64(4),np.int64(6),np.int64(2)),(np.int64(4),np.int64(6),np.int64(1)),(np.int64(3),np.int64(6),np.int64(1)),(np.int64(3),np.int64(7),np.int64(1)),(np.int64(3),np.int64(8),np.int64(1)),(np.int64(3),np.int64(9),np.int64(1)),(np.int64(3),np.int64(10),np.int64(1)),(np.int64(3),np.int64(11),np.int64(1)),(np.int64(3),np.int64(12),np.int64(1)),(np.int64(3),np.int64(12),np.int64(0)),(np.int64(3),np.int64(13),np.int64(0)),(3,14,0)]"
"(36,15)","[(13,1,0),(np.int64(14),np.int64(1),np.int64(0)),(np.int64(14),np.int64(2),np.int64(0)),(np.int64(14),np.int64(3),np.int64(0)),(np.int64(14),np.int64(3),np.int64(1)),(np.int64(14),np.int64(4),np.int64(1)),(np.int64(14),np.int64(5),np.int64(1)),(np.int64(14),np.int64(6),np.int64(1)),(np.int64(13),np.int64(6),np.int64(1)),(np.int64(13),np.int64(7),np.int64(1)),(np.int64(13),np.int64(8),np.int64(1)),(np.int64(13),np.int64(9),np.int64(1)),(13,9,0)]"
"(29,44)","[(13,3,0),(np.int64(12),np.int64(3),np.int64(0)),(np.int64(12),np.int64(3),np.int64(1)),(np.int64(12),np.int64(3),np.int64(2)),(np.int64(12),np.int64(3),np.int64(3)),(np.int64(12),np.int64(3),np.int64(4)),(np.int64(12),np.int64(4),np.int64(4)),(np.int64(12),np.int64(5),np.int64(4)),(np.int64(12),np.int64(6),np.int64(4)),(np.int64(12),np.int64(7),np.int64(4)),(np.int64(11),np.int64(7),np.int64(4)),(np.int64(11),np.int64(8),np.int64(4)),(np.int64(11),np.int64(9),np.int64(4)),(np.int64(10),np.int64(9),np.int64(4)),(np.int64(9),np.int64(9),np.int64(4)),(np.int64(9),np.int64(10),np.int64(4)),(np.int64(9),np.int64(11),np.int64(4)),(np.int64(9),np.int64(12),np.int64(4)),(np.int64(8),np.int64(12),np.int64(4)),(np.int64(8),np.int64(13),np.int64(4)),(np.int64(7),np.int64(13),np.int64(4)),(np.int64(7),np.int64(14),np.int64(4)),(np.int64(7),np.int64(15),np.int64(4)),(np.int64(7),np.int64(15),np.int64(3)),(np.int64(7),np.int64(15),np.int64(2)),(np.int64(7),np.int64(15),np.int64(1)),(np.int64(7),np.int64(15),np.int64(0)),(6,15,0)]"
"(47,36)","[(8,1,0),(np.int64(8),np.int64(2),np.int64(0)),(np.int64(8),np.int64(3),np.int64(0)),(np.int64(8),np.int64(4),np.int64(0)),(np.int64(8),np.int64(5),np.int64(0)),(np.int64(8),np.int64(5),np.int64(1)),(np.int64(8),np.int64(5),np.int64(2)),(np.int64(8),np.int64(5),np.int64(3)),(np.int64(8),np.int64(5),np.int64(4)),(np.int64(8),np.int64(5),np.int64(5)),(np.int64(8),np.int64(6),np.int64(5)),(np.int64(8),np.int64(7),np.int64(5)),(np.int64(8),np.int64(8),np.int64(5)),(np.int64(8),np.int64(8),np.int64(6)),(np.int64(8),np.int64(9),np.int64(6)),(np.int64(8),np.int64(10),np.int64(6)),(np.int64(8),np.int64(11),np.int64(6)),(np.int64(8),np.int64(11),np.int64(5)),(np.int64(8),np.int64(11),np.int64(4)),(np.int64(8),np.int64(11),np.int64(3)),(np.int64(8),np.int64(11),np.int64(2)),(np.int64(8),np.int64(11),np.int64(1)),(np.int64(8),np.int64(12),np.int64(1)),(8,12,0)]"
