net,wires
"(12,13)","[(10,11,0),(np.int64(11),np.int64(11),np.int64(0)),(np.int64(11),np.int64(12),np.int64(0)),(np.int64(12),np.int64(12),np.int64(0)),(np.int64(13),np.int64(12),np.int64(0)),(np.int64(13),np.int64(11),np.int64(0)),(np.int64(13),np.int64(10),np.int64(0)),(12,10,0)]"
"(10,24)","[(9,2,0),(np.int64(8),np.int64(2),np.int64(0)),(np.int64(8),np.int64(3),np.int64(0)),(np.int64(8),np.int64(4),np.int64(0)),(np.int64(8),np.int64(5),np.int64(0)),(np.int64(8),np.int64(6),np.int64(0)),(np.int64(8),np.int64(7),np.int64(0)),(8,8,0)]"
"(17,22)","[(1,1,0),(np.int64(1),np.int64(2),np.int64(0)),(1,3,0)]"
"(9,19)","[(16,5,0),(np.int64(16),np.int64(6),np.int64(0)),(np.int64(16),np.int64(6),np.int64(1)),(np.int64(16),np.int64(7),np.int64(1)),(np.int64(17),np.int64(7),np.int64(1)),(np.int64(17),np.int64(8),np.int64(1)),(np.int64(16),np.int64(8),np.int64(1)),(np.int64(15),np.int64(8),np.int64(1)),(np.int64(14),np.int64(8),np.int64(1)),(np.int64(14),np.int64(9),np.int64(1)),(np.int64(13),np.int64(9),np.int64(1)),(np.int64(12),np.int64(9),np.int64(1)),(np.int64(11),np.int64(9),np.int64(1)),(np.int64(10),np.int64(9),np.int64(1)),(np.int64(9),np.int64(9),np.int64(1)),(np.int64(8),np.int64(9),np.int64(1)),(np.int64(7),np.int64(9),np.int64(1)),(np.int64(6),np.int64(9),np.int64(1)),(np.int64(6),np.int64(10),np.int64(1)),(np.int64(6),np.int64(11),np.int64(1)),(6,11,0)]"
"(11,21)","[(4,7,0),(np.int64(5),np.int64(7),np.int64(0)),(np.int64(6),np.int64(7),np.int64(0)),(np.int64(6),np.int64(8),np.int64(0)),(np.int64(5),np.int64(8),np.int64(0)),(np.int64(4),np.int64(8),np.int64(0)),(np.int64(3),np.int64(8),np.int64(0)),(np.int64(3),np.int64(9),np.int64(0)),(3,10,0)]"
"(23,9)","[(4,7,0),(np.int64(3),np.int64(7),np.int64(0)),(np.int64(2),np.int64(7),np.int64(0)),(np.int64(2),np.int64(6),np.int64(0)),(np.int64(1),np.int64(6),np.int64(0)),(np.int64(0),np.int64(6),np.int64(0)),(np.int64(0),np.int64(5),np.int64(0)),(np.int64(0),np.int64(4),np.int64(0)),(np.int64(1),np.int64(4),np.int64(0)),(1,3,0)]"
"(15,7)","[(11,4,0),(np.int64(10),np.int64(4),np.int64(0)),(np.int64(10),np.int64(3),np.int64(0)),(np.int64(9),np.int64(3),np.int64(0)),(np.int64(8),np.int64(3),np.int64(0)),(np.int64(7),np.int64(3),np.int64(0)),(np.int64(6),np.int64(3),np.int64(0)),(np.int64(5),np.int64(3),np.int64(0)),(np.int64(4),np.int64(3),np.int64(0)),(np.int64(3),np.int64(3),np.int64(0)),(np.int64(2),np.int64(3),np.int64(0)),(2,2,0)]"
"(16,5)","[(14,10,0),(np.int64(14),np.int64(10),np.int64(1)),(np.int64(14),np.int64(10),np.int64(2)),(np.int64(13),np.int64(10),np.int64(2)),(np.int64(13),np.int64(9),np.int64(2)),(np.int64(13),np.int64(8),np.int64(2)),(np.int64(13),np.int64(8),np.int64(3)),(np.int64(12),np.int64(8),np.int64(3)),(np.int64(11),np.int64(8),np.int64(3)),(np.int64(10),np.int64(8),np.int64(3)),(np.int64(9),np.int64(8),np.int64(3)),(np.int64(8),np.int64(8),np.int64(3)),(np.int64(7),np.int64(8),np.int64(3)),(np.int64(6),np.int64(8),np.int64(3)),(np.int64(5),np.int64(8),np.int64(3)),(np.int64(4),np.int64(8),np.int64(3)),(np.int64(3),np.int64(8),np.int64(3)),(np.int64(2),np.int64(8),np.int64(3)),(np.int64(1),np.int64(8),np.int64(3)),(np.int64(1),np.int64(8),np.int64(2)),(np.int64(1),np.int64(8),np.int64(1)),(np.int64(1),np.int64(8),np.int64(0)),(1,7,0)]"
"(15,8)","[(15,4,0),(np.int64(14),np.int64(4),np.int64(0)),(np.int64(14),np.int64(4),np.int64(1)),(np.int64(14),np.int64(5),np.int64(1)),(np.int64(13),np.int64(5),np.int64(1)),(np.int64(12),np.int64(5),np.int64(1)),(np.int64(11),np.int64(5),np.int64(1)),(np.int64(11),np.int64(5),np.int64(2)),(np.int64(10),np.int64(5),np.int64(2)),(np.int64(9),np.int64(5),np.int64(2)),(np.int64(8),np.int64(5),np.int64(2)),(np.int64(7),np.int64(5),np.int64(2)),(np.int64(6),np.int64(5),np.int64(2)),(np.int64(5),np.int64(5),np.int64(2)),(np.int64(4),np.int64(5),np.int64(2)),(np.int64(3),np.int64(5),np.int64(2)),(np.int64(2),np.int64(5),np.int64(2)),(np.int64(1),np.int64(5),np.int64(2)),(np.int64(1),np.int64(6),np.int64(2)),(np.int64(1),np.int64(7),np.int64(2)),(np.int64(1),np.int64(7),np.int64(1)),(1,7,0)]"
"(1,16)","[(2,4,0),(np.int64(2),np.int64(5),np.int64(0)),(np.int64(2),np.int64(6),np.int64(0)),(np.int64(3),np.int64(6),np.int64(0)),(np.int64(3),np.int64(5),np.int64(0)),(np.int64(3),np.int64(4),np.int64(0)),(np.int64(3),np.int64(4),np.int64(1)),(np.int64(3),np.int64(5),np.int64(1)),(np.int64(3),np.int64(6),np.int64(1)),(np.int64(4),np.int64(6),np.int64(1)),(np.int64(4),np.int64(6),np.int64(0)),(4,7,0)]"
"(6,18)","[(13,5,0),(np.int64(14),np.int64(5),np.int64(0)),(np.int64(15),np.int64(5),np.int64(0)),(np.int64(15),np.int64(6),np.int64(0)),(np.int64(15),np.int64(7),np.int64(0)),(np.int64(15),np.int64(7),np.int64(1)),(np.int64(15),np.int64(6),np.int64(1)),(np.int64(15),np.int64(5),np.int64(1)),(np.int64(15),np.int64(4),np.int64(1)),(15,4,0)]"
"(15,6)","[(13,5,0),(np.int64(12),np.int64(5),np.int64(0)),(np.int64(12),np.int64(5),np.int64(1)),(np.int64(12),np.int64(6),np.int64(1)),(np.int64(11),np.int64(6),np.int64(1)),(np.int64(11),np.int64(7),np.int64(1)),(11,7,0)]"
"(23,11)","[(16,7,0),(np.int64(17),np.int64(7),np.int64(0)),(np.int64(17),np.int64(8),np.int64(0)),(np.int64(16),np.int64(8),np.int64(0)),(np.int64(16),np.int64(9),np.int64(0)),(np.int64(15),np.int64(9),np.int64(0)),(np.int64(14),np.int64(9),np.int64(0)),(np.int64(13),np.int64(9),np.int64(0)),(np.int64(13),np.int64(9),np.int64(1)),(np.int64(13),np.int64(8),np.int64(1)),(np.int64(13),np.int64(7),np.int64(1)),(np.int64(12),np.int64(7),np.int64(1)),(np.int64(11),np.int64(7),np.int64(1)),(np.int64(10),np.int64(7),np.int64(1)),(np.int64(9),np.int64(7),np.int64(1)),(np.int64(8),np.int64(7),np.int64(1)),(np.int64(7),np.int64(7),np.int64(1)),(np.int64(6),np.int64(7),np.int64(1)),(np.int64(5),np.int64(7),np.int64(1)),(np.int64(5),np.int64(6),np.int64(1)),(np.int64(5),np.int64(5),np.int64(1)),(np.int64(5),np.int64(4),np.int64(1)),(np.int64(4),np.int64(4),np.int64(1)),(np.int64(3),np.int64(4),np.int64(1)),(np.int64(3),np.int64(3),np.int64(1)),(np.int64(2),np.int64(3),np.int64(1)),(np.int64(1),np.int64(3),np.int64(1)),(1,3,0)]"
"(25,13)","[(6,11,0),(np.int64(7),np.int64(11),np.int64(0)),(np.int64(7),np.int64(11),np.int64(1)),(np.int64(7),np.int64(10),np.int64(1)),(np.int64(7),np.int64(10),np.int64(2)),(np.int64(7),np.int64(9),np.int64(2)),(np.int64(7),np.int64(8),np.int64(2)),(np.int64(7),np.int64(7),np.int64(2)),(np.int64(7),np.int64(6),np.int64(2)),(np.int64(8),np.int64(6),np.int64(2)),(np.int64(8),np.int64(6),np.int64(1)),(np.int64(8),np.int64(5),np.int64(1)),(np.int64(8),np.int64(4),np.int64(1)),(np.int64(8),np.int64(3),np.int64(1)),(np.int64(8),np.int64(2),np.int64(1)),(np.int64(9),np.int64(2),np.int64(1)),(9,2,0)]"
"(11,6)","[(16,5,0),(np.int64(15),np.int64(5),np.int64(0)),(np.int64(15),np.int64(5),np.int64(1)),(np.int64(16),np.int64(5),np.int64(1)),(np.int64(17),np.int64(5),np.int64(1)),(np.int64(17),np.int64(6),np.int64(1)),(np.int64(16),np.int64(6),np.int64(1)),(np.int64(15),np.int64(6),np.int64(1)),(np.int64(14),np.int64(6),np.int64(1)),(np.int64(13),np.int64(6),np.int64(1)),(np.int64(13),np.int64(7),np.int64(1)),(np.int64(14),np.int64(7),np.int64(1)),(np.int64(14),np.int64(8),np.int64(1)),(np.int64(13),np.int64(8),np.int64(1)),(np.int64(12),np.int64(8),np.int64(1)),(np.int64(12),np.int64(9),np.int64(1)),(12,9,0)]"
"(20,9)","[(4,7,0),(np.int64(4),np.int64(8),np.int64(0)),(np.int64(4),np.int64(9),np.int64(0)),(np.int64(4),np.int64(10),np.int64(0)),(np.int64(4),np.int64(11),np.int64(0)),(np.int64(4),np.int64(12),np.int64(0)),(np.int64(5),np.int64(12),np.int64(0)),(np.int64(6),np.int64(12),np.int64(0)),(np.int64(7),np.int64(12),np.int64(0)),(np.int64(8),np.int64(12),np.int64(0)),(np.int64(9),np.int64(12),np.int64(0)),(np.int64(10),np.int64(12),np.int64(0)),(np.int64(11),np.int64(12),np.int64(0)),(np.int64(11),np.int64(12),np.int64(1)),(np.int64(11),np.int64(11),np.int64(1)),(np.int64(12),np.int64(11),np.int64(1)),(np.int64(13),np.int64(11),np.int64(1)),(np.int64(13),np.int64(10),np.int64(1)),(np.int64(12),np.int64(10),np.int64(1)),(12,10,0)]"
"(19,22)","[(6,11,0),(np.int64(5),np.int64(11),np.int64(0)),(np.int64(5),np.int64(11),np.int64(1)),(np.int64(5),np.int64(10),np.int64(1)),(np.int64(5),np.int64(10),np.int64(2)),(np.int64(4),np.int64(10),np.int64(2)),(np.int64(4),np.int64(9),np.int64(2)),(np.int64(4),np.int64(8),np.int64(2)),(np.int64(4),np.int64(7),np.int64(2)),(np.int64(4),np.int64(6),np.int64(2)),(np.int64(4),np.int64(6),np.int64(3)),(np.int64(4),np.int64(5),np.int64(3)),(np.int64(3),np.int64(5),np.int64(3)),(np.int64(2),np.int64(5),np.int64(3)),(np.int64(2),np.int64(4),np.int64(3)),(np.int64(2),np.int64(3),np.int64(3)),(np.int64(2),np.int64(2),np.int64(3)),(np.int64(2),np.int64(2),np.int64(2)),(np.int64(2),np.int64(2),np.int64(1)),(2,2,0)]"
"(2,23)","[(1,7,0),(np.int64(0),np.int64(7),np.int64(0)),(np.int64(0),np.int64(7),np.int64(1)),(np.int64(0),np.int64(6),np.int64(1)),(np.int64(0),np.int64(5),np.int64(1)),(np.int64(0),np.int64(4),np.int64(1)),(np.int64(0),np.int64(3),np.int64(1)),(np.int64(0),np.int64(2),np.int64(1)),(np.int64(0),np.int64(1),np.int64(1)),(np.int64(0),np.int64(0),np.int64(1)),(np.int64(1),np.int64(0),np.int64(1)),(np.int64(1),np.int64(0),np.int64(0)),(1,1,0)]"
